entry_time,exit_time,side,entry,exit,sl,tp_vwap,atr,r,reason,bars_held,cum_r
2022-01-03 01:30:00,2022-01-03 01:55:00,long,28908.419,28937.39057894737,28887.65446457405,28937.39057894737,17.303779521626947,1.3952433008039675,VWAP,5,1.3952433008039675
2022-01-03 03:00:00,2022-01-03 03:05:00,short,28963.319,28982.637493523824,28982.637493523824,28930.006477477476,16.09874460318584,-1.000000000000059,SL,1,0.39524330080390846
2022-01-03 03:45:00,2022-01-03 04:45:00,short,29021.319,28976.999,29043.369938139556,28943.724217391304,18.375781782965248,2.009891811382474,TIMEOUT,12,2.4051351121863824
2022-01-03 05:25:00,2022-01-03 06:25:00,short,29006.319,29006.519,29023.6619528243,28957.602080808083,14.452460686917464,-0.011532061582989922,TIMEOUT,12,2.3936030506033923
2022-01-03 09:05:00,2022-01-03 09:35:00,long,28931.369,28972.589090909092,28914.486109803154,28972.589090909092,14.069075164036317,2.44153047425493,VWAP,6,4.835133524858323
2022-01-03 09:50:00,2022-01-03 10:15:00,long,28843.999,28970.046927170868,28814.53891115109,28970.046927170868,24.55007404076076,4.278599695245639,VWAP,5,9.113733220103962
2022-01-03 11:15:00,2022-01-03 12:15:00,long,28901.999,28921.369,28866.028871757626,28968.18745588235,29.97510686864621,0.5385023892458548,TIMEOUT,12,9.652235609349816
2022-01-03 13:00:00,2022-01-03 14:00:00,long,28921.269,28928.999,28896.41772670842,28961.680656050954,20.709394409649946,0.31105046044536594,TIMEOUT,12,9.963286069795181
2022-01-03 15:45:00,2022-01-03 15:55:00,long,28881.999,28856.808997581604,28856.808997581604,28958.181157894705,20.991668681996213,-1.000000000000023,SL,2,8.963286069795158
2022-01-03 18:20:00,2022-01-03 18:45:00,short,29011.369,29040.1480346848,29040.1480346848,28957.60901658372,23.982528904000187,-1.0000000000000424,SL,5,7.9632860697951156
2022-01-03 19:55:00,2022-01-03 20:00:00,short,29148.419,29201.994263218,29201.994263218,28963.832530302996,44.64605268166558,-0.9999999999999761,SL,1,6.9632860697951395
2022-01-03 20:40:00,2022-01-03 21:40:00,short,29246.369,29178.269,29294.04573188922,28972.72224599706,39.730609907683565,1.4283697162429871,TIMEOUT,12,8.391655786038127
2022-01-04 03:15:00,2022-01-04 04:15:00,long,29223.469,29223.319,29202.50540914365,29267.77408333334,17.46965904695783,-0.00715526271378377,TIMEOUT,12,8.384500523324343
2022-01-04 04:25:00,2022-01-04 05:15:00,long,29213.999,29256.952765432103,29195.591950428843,29256.952765432103,15.339207975964827,2.333549723221677,VWAP,10,10.71805024654602
2022-01-04 05:45:00,2022-01-04 06:30:00,short,29283.269,29300.055238978664,29300.055238978664,29252.939380952383,13.988532482218861,-1.0000000000000926,SL,9,9.718050246545928
2022-01-04 13:15:00,2022-01-04 13:55:00,long,29248.369,29224.916510739058,29224.916510739058,29282.999958333345,19.543741050782433,-1.0000000000000733,SL,8,8.718050246545856
2022-01-04 14:00:00,2022-01-04 15:00:00,long,29213.319,29258.319,29188.381731086134,29280.65990729784,20.78105742822196,1.804528000056084,TIMEOUT,12,10.52257824660194
2022-01-04 18:45:00,2022-01-04 19:00:00,long,29240.419,29278.414825242722,29216.320206546177,29278.414825242722,20.08232787818707,1.5766691936475565,VWAP,3,12.099247440249496
2022-01-05 03:50:00,2022-01-05 04:50:00,long,29283.319,29303.369,29261.973536854537,29317.88396453901,17.78788595455121,0.9393096726628007,TIMEOUT,12,13.038557112912297
2022-01-05 06:05:00,2022-01-05 06:30:00,long,29288.369,29273.10071167173,29273.10071167173,29310.823234234227,12.723573606890302,-1.0000000000000209,SL,5,12.038557112912276
2022-01-05 06:35:00,2022-01-05 07:35:00,long,29273.519,29288.469,29257.77949084758,29308.661249999986,13.116257627017118,0.9498390232646869,TIMEOUT,12,12.988396136176963
2022-01-05 07:50:00,2022-01-05 08:30:00,long,29278.369,29304.28096491227,29265.11213552058,29304.28096491227,11.047387066182385,1.954607362283707,VWAP,8,14.94300349846067
2022-01-05 08:45:00,2022-01-05 09:00:00,long,29283.519,29302.658245282997,29268.381903803114,29302.658245282997,12.614246830738844,1.2643934499757885,VWAP,3,16.207396948436458
2022-01-05 10:45:00,2022-01-05 11:45:00,short,29345.419,29323.469,29369.706485037084,29303.4694102564,20.23957086423488,0.9037576334679246,TIMEOUT,12,17.111154581904383
2022-01-05 13:10:00,2022-01-05 13:40:00,long,29270.419,29308.338077568125,29249.779885137457,29308.338077568125,17.19926238545464,1.8372434002456433,VWAP,6,18.948397982150027
2022-01-05 14:05:00,2022-01-05 14:10:00,long,29275.519,29253.108121155106,29253.108121155106,29307.54105882352,18.67573237074521,-0.9999999999999838,SL,1,17.948397982150045
2022-01-05 14:15:00,2022-01-05 14:20:00,long,29228.999,29200.819823853126,29200.819823853126,29306.81954263565,23.48264678906102,-1.0000000000000255,SL,1,16.94839798215002
2022-01-05 14:25:00,2022-01-05 14:35:00,long,29188.519,29157.592138934586,29157.592138934586,29305.635877394627,25.772384221180186,-0.9999999999999415,SL,2,15.948397982150079
