20230102 180000;25914.319000;25932.369000;25899.999000;25924.269000;0
20230102 180100;25949.319000;25952.319000;25919.999000;25934.269000;0
20230102 180200;25937.269000;25937.269000;25937.269000;25937.269000;0
20230102 180300;25934.999000;25934.999000;25932.319000;25932.319000;0
20230102 180400;25927.319000;25927.319000;25907.369000;25907.369000;0
20230102 180500;25909.269000;25919.419000;25907.269000;25919.419000;0
20230102 180600;25907.469000;25922.519000;25907.469000;25914.469000;0
20230102 180700;25917.369000;25929.519000;25917.369000;25929.519000;0
20230102 180800;25919.999000;25922.519000;25914.369000;25914.419000;0
20230102 180900;25912.419000;25912.419000;25907.419000;25907.419000;0
20230102 181000;25909.999000;25909.999000;25889.999000;25889.999000;0
20230102 181100;25887.269000;25889.469000;25872.519000;25872.519000;0
20230102 181200;25869.319000;25872.419000;25867.519000;25872.419000;0
20230102 181300;25874.369000;25884.419000;25872.319000;25874.269000;0
20230102 181400;25877.269000;25882.519000;25877.269000;25877.269000;0
20230102 181500;25879.999000;25882.269000;25869.319000;25874.469000;0
20230102 181600;25879.269000;25884.369000;25877.519000;25877.519000;0
20230102 181700;25879.419000;25897.469000;25879.419000;25894.999000;0
20230102 181800;25889.469000;25894.469000;25889.469000;25892.999000;0
20230102 181900;25897.999000;25897.999000;25889.519000;25889.519000;0
20230102 182000;25892.999000;25892.999000;25889.319000;25892.319000;0
20230102 182100;25887.319000;25887.319000;25872.419000;25872.419000;0
20230102 182200;25874.369000;25877.469000;25867.369000;25874.269000;0
20230102 182300;25877.419000;25879.269000;25877.419000;25879.269000;0
20230102 182400;25874.519000;25877.419000;25872.369000;25874.369000;0
20230102 182500;25877.999000;25884.519000;25877.999000;25884.519000;0
20230102 182600;25887.519000;25887.519000;25884.319000;25884.319000;0
20230102 182700;25887.369000;25892.999000;25884.469000;25892.999000;0
20230102 182800;25887.369000;25892.469000;25887.369000;25892.369000;0
20230102 182900;25887.319000;25889.269000;25887.319000;25889.269000;0
20230102 183000;25887.519000;25892.999000;25882.999000;25882.999000;0
