entry_time,exit_time,side,entry,exit,sl,tp_vwap,atr,r,reason,bars_held,cum_r
2023-01-03 08:55:00,2023-01-03 09:10:00,short,25889.469,25911.031764417097,25911.031764417097,25848.62761111111,17.968970347580697,-0.9999999999999766,SL,3,-0.9999999999999766
2023-01-03 10:20:00,2023-01-03 10:45:00,long,25797.269,25852.683133333336,25761.07286045032,25852.683133333336,30.16344962473313,1.5309404268728364,VWAP,5,0.5309404268728598
2023-01-03 12:30:00,2023-01-03 12:50:00,long,25772.369,25739.505614699287,25739.505614699287,25846.465048565122,27.386154417260993,-0.9999999999999715,SL,4,-0.46905957312711166
2023-01-03 14:25:00,2023-01-03 14:45:00,long,25752.419,25836.15032183908,25721.77371852991,25836.15032183908,25.537734558409866,2.7322745239195987,VWAP,4,2.263214950792487
2023-01-03 18:35:00,2023-01-03 18:45:00,long,25767.269,25740.637973270168,25740.637973270168,25832.28445155994,22.192522274861304,-0.9999999999999498,SL,2,1.2632149507925372
2023-01-03 19:10:00,2023-01-03 20:10:00,long,25679.419,25714.369,25634.74357307906,25830.0493968254,37.22952243411813,0.782309256089373,TIMEOUT,12,2.04552420688191
2023-01-03 20:55:00,2023-01-03 21:55:00,long,25714.519,25714.369,25670.776301240807,25821.571308802308,36.452248965993725,-0.0034291437029804403,TIMEOUT,12,2.04209506317893
2023-01-04 00:35:00,2023-01-04 01:00:00,long,25724.319,25710.058933884342,25710.058933884342,25748.282333333333,11.883388429715122,-0.9999999999999573,SL,5,1.0420950631789725
2023-01-04 01:05:00,2023-01-04 01:15:00,long,25682.269,25664.182718717908,25664.182718717908,25735.761857142854,15.07190106841174,-0.999999999999906,SL,2,0.04209506317906653
2023-01-04 01:20:00,2023-01-04 01:40:00,long,25654.319,25632.528580183396,25632.528580183396,25723.23331372549,18.158683180503242,-0.999999999999977,SL,3,-0.9579049368209105
2023-01-04 02:05:00,2023-01-04 03:05:00,long,25627.369,25669.469,25608.02963285021,25696.533666666666,16.11613929148987,2.176906807442457,TIMEOUT,12,1.2190018706215466
2023-01-04 03:45:00,2023-01-04 04:10:00,short,25717.999,25685.889518518514,25736.41445805342,25685.889518518514,15.346215044517185,1.743615683538306,VWAP,5,2.962617554159853
2023-01-04 05:40:00,2023-01-04 06:35:00,long,25659.469,25684.45605882353,25643.289921133084,25684.45605882353,13.482565722431026,1.5444055269809749,VWAP,11,4.507023081140828
2023-01-04 08:15:00,2023-01-04 08:25:00,short,25722.369,25737.937903304402,25737.937903304402,25685.325767676768,12.974086087004336,-0.9999999999999002,SL,2,3.5070230811409275
2023-01-04 09:40:00,2023-01-04 10:00:00,short,25772.519,25691.962936781616,25793.100172359507,25691.962936781616,17.15097696625435,3.914065817595671,VWAP,4,7.421088898736599
