dt,open,high,low,close,vwap,atr,rsi2,adx15
2023-01-02 19:50:00,25779.419,25802.369,25764.269,25767.369,25855.510304347823,34.62218540675425,1.2478390687192302,
2023-01-02 19:55:00,25762.519,25787.269,25712.519,25739.419,25850.96413888889,37.48845787770038,0.38873002868993467,
2023-01-02 20:00:00,25737.519,25757.469,25694.319,25729.369,25846.007666666665,39.321425172150455,0.26000050808355013,
2023-01-02 20:05:00,25732.999,25744.999,25699.319,25699.319,25840.951435897437,39.77560908842545,0.08723871115628867,
2023-01-02 20:10:00,25697.469,25712.519,25677.369,25692.369,25835.511962962963,39.44520843925231,0.06672903929148788,
2023-01-02 20:15:00,25694.519,25717.269,25672.319,25687.369,25830.397928571427,39.83840783644863,0.04986213046248622,
2023-01-02 20:20:00,25682.519,25697.519,25667.269,25684.469,25825.3181954023,39.153521562416586,0.038556873764036936,
2023-01-02 20:25:00,25687.419,25692.519,25637.269,25657.999,25819.89411111111,40.30327002224397,0.007502795467061674,
2023-01-02 20:30:00,25652.469,25657.319,25607.319,25622.419,25813.736849462362,41.04446502065514,0.002370398678479546,
2023-01-02 20:35:00,25617.999,25647.999,25597.519,25644.369,25807.99389583333,41.71843180489403,45.772107629917855,
2023-01-02 20:40:00,25647.519,25657.469,25632.419,25652.419,25803.12849494949,40.527829533115835,59.40181856703391,
2023-01-02 20:45:00,25647.419,25672.999,25642.469,25654.319,25798.81870588235,39.81369885217891,63.70773599702298,
2023-01-02 20:50:00,25652.999,25662.999,25637.319,25642.469,25794.498047619043,38.80414893416615,27.424983096563423,
2023-01-02 20:55:00,25639.519,25654.469,25634.319,25652.999,25790.408166666664,37.47170972458296,63.931740570965104,
2023-01-02 21:00:00,25654.519,25702.469,25649.469,25687.369,25787.417918918916,38.58087331568417,91.5801719085853,
2023-01-02 21:05:00,25684.519,25689.469,25667.269,25684.999,25784.60636842105,37.4108109359925,82.82425449862009,
2023-01-02 21:10:00,25679.319,25694.269,25672.999,25694.269,25782.108230769227,36.25789586913592,90.17367125699944,
2023-01-02 21:15:00,25697.319,25704.369,25657.369,25664.469,25779.440583333333,37.025189021340495,24.039365246922685,
2023-01-02 21:20:00,25662.369,25692.999,25642.519,25687.469,25776.87688617886,37.986246948387574,64.3730221821917,
2023-01-02 21:25:00,25689.269,25702.319,25679.369,25699.519,25774.89733333333,36.91222930921709,77.10901305313762,
2023-01-02 21:30:00,25702.999,25702.999,25684.419,25687.369,25772.960085271316,35.602784358558594,44.80746412602117,
2023-01-02 21:35:00,25684.419,25697.999,25679.369,25697.269,25771.109757575756,34.39044261866162,67.1993161145518,
2023-01-02 21:40:00,25694.269,25727.369,25692.319,25719.469,25769.81959259259,34.437553860185744,88.36658216576073,
2023-01-02 21:45:00,25717.419,25722.519,25707.269,25709.999,25768.59008695652,33.067014298743906,56.989911816752745,
2023-01-02 21:50:00,25707.369,25712.999,25697.269,25712.999,25767.29573758865,31.828656134547884,64.88879666322332,
2023-01-02 21:55:00,25714.369,25717.999,25704.519,25707.269,25766.10059722222,30.518037839223005,38.1351034995459,
2023-01-02 22:00:00,25709.269,25717.469,25699.269,25709.269,25764.92852380952,29.63817799356427,51.96149559748222,
2023-01-02 22:05:00,25707.419,25714.999,25702.419,25704.519,25763.776199999997,28.419736708309546,25.204532068676244,
2023-01-02 22:10:00,25707.519,25709.469,25692.319,25694.519,25762.501549019606,27.61475551485897,7.955571201470946,
2023-01-02 22:15:00,25697.469,25722.999,25697.469,25704.319,25761.458487179483,27.676558692369014,60.68736387246649,
2023-01-02 22:20:00,25707.369,25734.419,25699.319,25727.319,25760.682899371066,28.206804500057096,89.34356694042233,
2023-01-02 22:25:00,25729.369,25729.469,25704.319,25709.319,25759.825234567896,27.988461321481694,41.73108501538831,
2023-01-02 22:30:00,25704.519,25709.369,25692.369,25707.519,25758.793606060604,27.203571227090148,37.71166629034748,
2023-01-02 22:35:00,25712.999,25729.319,25712.269,25714.269,25758.076202380948,26.81760185372651,63.835862956825615,
2023-01-02 22:40:00,25717.519,25722.999,25714.269,25719.419,25757.3888245614,25.52563029274602,77.9484930190909,
2023-01-02 22:45:00,25722.999,25742.519,25707.319,25734.319,25756.8830229885,26.21665670040707,93.23174311352604,
2023-01-02 22:50:00,25732.269,25747.469,25732.269,25747.319,25756.63674011299,25.42975265037805,96.93658763264402,
2023-01-02 22:55:00,25744.419,25752.999,25737.369,25752.999,25756.489277777775,24.729770318208264,97.92778933074305,
2023-01-02 23:00:00,25747.519,25759.469,25747.369,25757.469,25756.461076502732,23.82764386690783,98.62700880046738,
2023-01-02 23:05:00,25754.999,25757.519,25742.319,25749.519,25756.35340860215,23.211383590700184,44.825505862912365,
2023-01-02 23:10:00,25747.319,25749.319,25717.319,25732.999,25755.98608994709,23.853427619935935,13.720256518143401,
2023-01-02 23:15:00,25729.269,25732.999,25712.519,25719.419,25755.449520833332,23.612468504226193,6.408791919717913,
2023-01-02 23:20:00,25722.519,25722.999,25712.269,25719.319,25754.87638461538,22.69229218249572,6.358885845889631,
2023-01-02 23:25:00,25717.369,25717.369,25702.369,25712.469,25754.207585858585,22.28212845517465,3.0766276571427937,
2023-01-02 23:30:00,25714.519,25722.519,25712.369,25719.519,25753.66919900497,21.415547851233708,53.006365611773376,
2023-01-02 23:35:00,25717.369,25722.999,25712.269,25712.269,25753.112970588234,20.652294433288414,25.737227335951843,
2023-01-02 23:40:00,25714.319,25722.319,25707.319,25712.319,25752.545908212556,20.248559116624957,26.26047310659891,
2023-01-02 23:45:00,25709.419,25717.319,25704.469,25714.469,25751.967904761903,19.7200906082945,54.08339703184978,
2023-01-02 23:50:00,25717.519,25717.999,25704.319,25704.469,25751.36172300469,19.288655564844913,11.992166836870638,
